content,score
sangat bermanfaat untuk berbelanja akurasi tepat 🤩,5
apj nya bagus bgt walaupun lemot,5
"Paket datang terlambat, pesanan lama pelayanan tidak memuaskan dan penanganan masalah sangat lama",1
"tiap order di cancel males,akhirnya hapus akun gak mau belanja lagi disini,",1
sangat membantu banget...,5
mantap suketap,5
udah lama pakai shopee tapi paylater gk lolos terus,5
oke,5
baru nyoba beli lg setelah sekian lama eh gaada perubahan telattttttt terus ngarett pengiriman sampe 7 hari belum sampai,1
good,5
👍👍👍👍,5
mantap terbaik,5
keren,5
shopee emang the best,5
baik baik saja,3
baik,1
no gagall,5
"suka banget belanja di shopee harganya murah murah kualitas bagus,tokonya juga amanah.",5
"order dibatalkan terus alasanya melakukan tindakan tidak wajar, dikomplain di CS tidak ada perbaikan, ditanya bukti untuk menunjukkan tindakan tidak wajar yang bagaimana tidak bisa tapi tidak bisa order terus lama"" beralih ke yang lain saja daripada shopee makan hati terus",1
sangat memudahkan,4
pesanan ada gak sesuai dan sesuai,4
aplikasi nya lag banget,1
bagus,4
Barang sesuai pesanan,5
produk selalu bagus dan lebih murah,5
mantap lah,5
bagus saya sangat suka belanja di shopee,5
"Shopee menurut sya ngga usah ada kolom ""pesanan selesai"" sebelum paket dateng, soalnya nyusahin mau pencet ""lacak"" malah yang kepencet ""pesanan selesai""",3
Sangat puas,5
"Saya sudah hampir 4 tahun menggunakan shoope,kenapa makin kesini barang2 yg kita pesan selalu telat dari estimasi,jangan mentang2 lagi Bulan Ramadhan ya",3
BAGUSSS,5
mantull,4
"banyak promonya, jadi makin enak belanjanya",5
ganggu pas buka aplikasi langsung ke vidio...,3
biarlah bintang yang bicara,5
"sangat puas belanja d Shopee, selama sy belanja tidak pernah kecewa dgn produk"" yg ad d Shopee.. makasih Shopee sudah mempermudah sy dan kluarga mendapatkan barang"" yang d inginkan🥰",5
so far the best for me.. thanks,4
sangat membantu dn ongkir murah,5
sangat baik 👍👍👍,5
sgt berguna,5
sangat membantu bagi yg males belanja d luar....,5
"pusat belanja online termurah, termudah dan yg pasti terpercaya.",5
mantap,5
mantap,5
bagus,4
APLIKASI GEJLASSS PESAN MAKANAN LAMA BANGET JNGN DOWNLOAD DEH SHOPEPAY RUSAKKK,1
Shopee makin Oke aja👍,5
sedikit masukan dari saya kalo bisa metode pembayaran di shopee tambahin ewallet seperti Gopay sama Dana biar mempermudah konsumen yang tidak memiliki Mbanking ketika hendak mau transaksi secara virtual acount di marketplace shopee..Terimkasih,5
banyakin graris ongkir nya 😁🙏,5
Shoppi aplikasi jujur dan amanah..,5
customer (X) raja e-commerce ( RAJA),1
ok bagus,5
sangat bagus,5
dari secang ke Wonosobo malah mampir ke Banyumas dari Sleman........malah jauh ......auto cancel ni pembeli.........sudah lemot jauh dr sasaran kirim,1
"tolong lah Shopee aplikasinya ngelag parah, gw download online shop tokped lancar jaya kok gk ngelag.. enak sekali klik langsung masuk ke menu.. gak pake delay",1
baik,5
"oii ekspedisi shope lama bngt ngater paket nya,, toko sebelah tiktok 2 hari aja udah sampai... padalah toko juga sama, Cek out dluan di shope, tapi dateng nya lebih cepat toko sebelah.. diperbaiki dong ekspedisinya!",2
"tolong dong adakan lagi blokir pengguna lain, sebab banyak pengguna lain yg seenaknya permainkan jualan orang lain. kalau kita blokir setidaknya dia gak pura2 beli. trus cancel. kasih hak penjual untuk siapa aja yang bisa beli ke lapak masing2 toko. masa harus di atur sm shopee, itu gak adil. dan membuka celah buat para penipu kasih link2 di chat. ngeri pas anak yg buka shope/ orang tua yg gak bahan dpt link di chat. nah kalau ads tombol blokir kita bisa blok2 para tuti yang kirim di chat.",1
ribet shopy ini .masukn alamat trus suruh foto wajah pula edan opo,1
"udah 2 kali ngajuin di spinjam.tp 2 kli di tolak, padahal udah ngisi data,ngajuin bulan kemarinnya,ditolak suruh ngajuin bulan depan,ngajuin lagi eh di tolak suruh ngajuin bulan dwpan nya lagi. tolong data sy hapus dan jangn di salah gunakan, dan sy dah unistal aplikasi shopee. aplikasi kurang bermutu",1
Cuman ada sedikit Jak pengiriman nya sekarang agk lambat gak kaya tahun kemaren mohon dikembangkan lagi biar saya makin betah keshopee☺️☺️🙏🙏,5
"shopee bgus nie bnyak yg order ,semoga grtis ongkir nya ada trs min ,,sukes trss ,,dan di ceptkan pengiriman nya heheh",5
mantapp,5
mantap,5
sangat baikkkkk,5
instan rasa samday😪,1
MANTAPPP,5
spaylater ga bisa di pakai,1
sangat sangat mantap deh sopi bayak diskon potongan koin y sangat mantappp......,5
game dalam shopee adalah pembodohan,2
"Di Shopee banyak penjual buku bajakan. Sialnya malah ada fitur ""Ulasan Produk Serupa"" yang membuat ulasan buku legal masuk ke etalase buku bajakan. Orang-orang yang belum begitu paham soal buku jadi semakin beresiko kemakan produk buku bajakan seperti itu.",2
bagus dan memuaskan,5
"Mantapppp,,,,,,,,, Belanja online sepuasnya,,,,,, Saya suka saya puas",5
sangat membantu dan semoga lebih berkembang,5
enak dan nyaman,3
bagus,3
gajelas amat sih tiap buka aplikasi langsung di arahin ke vidio atau live 👎👎👎👎👎👎👎👎👎👎👎👎,1
"Tolong kembalikan lagi settingannya, baru buka langsung video iklan sangat menggangu.. dulu gak kaya gini deh..",2
good,5
good,5
pengalaman saya di shopi sangat mengecewakan. banyak fiktur yang tidak berpungsi spinjam dan spayleter tida bisa digunakan. penilayan 0-,1
Sangat membantu,5
Shoppee bagus semoga karya anda sukses,5
aplikasinya mantap,5
"mudah belanjanya, pokoknya jempol deh",5
"knp sekarang buka aplikasi shopee tidak muncul di beranda,tapi di halaman live n video?? bikin lemot n boros kuota saja!! gmn cara balikin default beranda??",1
sangat bagus dan murah!!,5
"Maaf sy turunkan bintangnya, karena saya kecewa pengajuan pinjaman saya ditolak dengan alasan perilaku kredit yang baik. Padahal kreditan saya tidak pernah terlambat. Besar harapan bisa pinjam karena adanya acara yang mendesak, lagi lagi terbentur oleh sistem. Limit extrapun kemaren terbentur oleh sistem. Pas tidak membutuhkan uang, pinjaman tersedia, pas sedang butuh ditolak, harus menunggu sebulan lagi. Ya acaranya sudah buyar dong. Oh sistem sistem...........",1
Baguuus,5
shopee top bgeeet,5
Sangat bagus,4
berguna dan bermanfaat,5
limit di bekukan sudah lama padahal belanja di shopy aktif mungkin hapus aja skalian aplikasinya,1
baik dan akurat,5
"aplikasi buruk, masih banyak banget bug, suka error pas lagi buka aplikasinya, bikin hp lelet kalau lagi lihat² barang, tolong lebih diperbaiki sistemnya",1
Good,5
di antar dengan tepat waktu pokoknya bagus ini aplikasi,5
"Alhamdulillah selama ini belanja aman dan lancar, maturnuwun Shopee 😊",5
belanja makin mudah dan tidak takut untuk ditipu karna dishope ada fiktur cek dulu dan pengiriman pun cepat,5
ok......sip👍,5
belanja puas dan banyak diskon rekomendasi banget buat belanja online dengan mudah.,5
bagus,5
aplikasinya ngeleg lama dibukanya,1
Lemot login harus verifikasi wajah gagal terus alasannya krna minim cahaya lh pke masker lah padahal ga pake masker,3
aplikasi terkeren pokoknya rugi kalau gak download,5
mantap tapi gk bisa shope later ttp di tolak,5
semoga k depanx sllu terdepan,5
shopee bagus banget,5
sangat bagus dan banyak diskonnya,5
"nyebelin nyebelin nyebelin! aku udah masukin no telpon ke shoope, tapi malah dikasi ""ada indikasi mencurigakan"" capek tau bolak balik shoope sama wa, daritadi nyoba gk bisa, sampe udah download ulang 3 kali tetep gabisa, shiball!",1
"apk rusakk,gabisa ngajuin pengembalian dana,dalihnya Karna keamanan,padahal gua mau narik dana yg nyangkut karna mau pesan ulang malah kaga bisaa kocak,malah sebenarnya galayak dikasih bintang sama sekali",1
terjangkau untuk semua kalangan 👍👍,5
shopee yg terbaik,5
Mulai sulit masuk di aplikasi,2
gaakan berpaling selain co co co di toko ini best bgt,5
good,5
"halo min, Kenapa topup shopeepay udh bayar kena biaya Rp500 ko Saldo topupnya Berkurang Rp1000 hahh balikin duit sy yg Seribuuu hayyy Hayy sy Udh Kena bayar Tambahan Biaya topup Rp500 knp dana jg dipotong seribu biaya topup Double gitu Ndasmuuu Enak Ajaaa gada diinfooo Ndasmuu Balikin dana sayaaaa Ndasmuuu",1
barang sesuai dgn gambar,5
banyak pilihannya,5
simpel dan bnyak pilihan,5
Make life easier.,5
sangat membantu belanja dari rumah aja.,5
pengiriman kurang cepat,4
Sangat membantu sekali dengan belanja di shopee dan tidak perlu repot untuk keluar rumah,5
pengiriman selalu tepat waktu untuk packing bagus aman,4
memudahkan respon cepat pokoknya the best shopee moga lanvar teris kedepannya,5
paling ok,5
2 hari ini jelek error ngk ada jaringan udah di intal pasang lagi tetap begitu,1
puas belanja mudah dan dipermudah 😍,5
"selalu puas belanja di shoope , ongkir paling murah sejagad raya 😍😍",5
gw belanja di shope senang sekali dan banyak kebutuhan yang sudah gw beli.gw sudah percaya sama Shope,5
lu kalok ngasih iklan yang bener aj GK usah nipu nipu,1
"kurir shopee SPX kaya gk punya adab, pengiriman sungguh lambat luar biasa",1
aplikasi belanja no 1,5
pakai shope puas banyak gratis ongkir,5
bagus Aplikasi ini si cuman lambat donwlod nya,4
"setelah beberapa kali sy protes sekarang sudah semakin baik, moga bisa lebih baik lagi",5
bagus,5
bagus,5
sangat bagus,5
pengiriman cepat,5
blum terlalu paham sama cara kerja apk nya,1
mantaaapp,5
"Bagus. ,👍👍",5
Lihat yg komen jd tettarik neh... Aku sekarang mulai belanja di sini. syg untuk paylaternya lum bisa di akses.,5
bagus bangettt,5
"sangat membantu, banyak potongan voucher, sangat recommended untuk belanja online",5
apl nya sangat membantu tapi 1 kekurangan memuat nya sangat lama sekali,5
pesanan nya sesuai dengan gambar,5
maju terus dan sukses selalu shopee,5
Belanja barang lebih cepat dan banyak pilihan mantab,5
"Pesanan lama,pesen yg food. Kagak pernah dapet driver dan cuma pengembalian uang mulu",1
sangat membantu,5
Jaya trus untu apk shopy..ttp maju,5
"Berisik banget Notif suruh aktifkan SPaylater, pake acara pembayaran ke gagal , apaan sih ga jelas , berisik notifnya dan berulang ulang terus kek gitu",2
Poko nya belanja di shopee puas bgt 🤗,5
mantap,5
pengiriman lambat & buruk sekali,1
sangat bagus,5
karena bagus,5
gud,5
Sangat bagus sekali shopee,5
gerceppppp,5
sangat bagus,5
kerennn,5
Bagus,5
"saya lebih percaya sama shopee daripada toko sebelah, gambar sama produk sesuai",5
"good mantap, membantu, menarik",5
apk nya mantap pokok nya,5
"Pengalaman berbelanja sangat buruk biaya layanan semakin tinggi tapi tidak ada peningkatan layanan malah busuk semua, cs juga diem aja👎🏻",1
"bayar ongkir mahal2 buat instan biar cepet sampe, malah pesanan di gabung 5 barang sama orang laen. sameday malah sampe 12 barang, kapok2 bayar mahal biar cepet malah jadi lama",1
apasih kalian nih bagusss kok shope tpiii kok kalian pada ngg sukaaa..tpii aku yang Ng suka nya ituu Harga barangnya mahal bgtt sumpah 🤣🤣...tpiii shope sihh yg paling terpercaya KLO yg lain ngg bgusss kalian aja yg ngak pande Makai Shope nyaa...crii tutorialnya dluu gihh snaa sblm bilng aplikasi shope jelekk pdhl bgusss tuh aplikasi nyaa👍🏻👍🏻💋💋🤣,5
sangat baik,5
bagus cepat prosesnya,4
aplikasi ini sangat bagus,5
sangat recomended,5
mantap sukses terus usahanya...aminnn,5
selalu yg terbaik,5
ok,5
"barang yang dipesan semua sesuai, waktu tidak lama ( cepat ) posisi barang mudah dilacak pokoknya shopee ok dan mantab",5
kenapa saya tidak bisa memilih jasa kirim?,5
mantap,5
"menurut aku aplikasinya bagus,,beli apa pun bnyk yg jual,barang² nya juga lengkap,yg penting hrs jeli stiap beli produk hrs jelas deskripsi nya. pokonya puas deeh belanja di shopee..",5
saya merasa puas berlangganan dg shopee makasih shopee,5
mantab,5
aku suka aplikasi Shopee ini bnyk promo nya dan geratis ongkir aku jadi langganan sukses selalu Shopee,5
Shopee 👍👍👍,5
baikkk,5
aplikasi untuk berbelanja terbesar se Indonesia bisa untuk belanja apa yang kita mau semoga kedepannya semakin baik,5
"saya suka banyak gratis ongkir, pake spx hemat ongkir 0 rupiah",5
jelek,1
"aplikasi driver bikin susah drivernya sendiri, suspend jadi andelan mudah mudahan cepet bangkrut",1
"tolong di perbaiki lagi dong pembayaran melalui dana,ovo maupun yg lain",5
suka sama akun shopee...tidak pernah kecewa,5
bagus,5
aplikasi yang bagus,5
cukup baik,5
APLIKASI SHOPPE MAKIN SINI MAKIN BURUK,1
Sanggat memuaskan belanja di shopee,5
saya selalu menggunakan shopee untuk membeli barang barang online tidak pernah menggunakan yang lain tapi tolong kadang tidak ada pembayaran cod jadi bisakah ditambahkan pembayaran lewat dana?ovo?gopay?biar ga ribet gituloh biar jadi lebih mudah juga bisa pake qris.,4
jadi seneng blanja di Shopee karna mudah.walaupun uang saya pas pas an😁,5
bagus,5
keren,5
barang-barang yg dijual di shopee sesuai TDK mengecewakan,5
tapi kenapa saya di tipu jelas saya beli amplifier seharga 160 datang nya dus amplifier tapi dalam nya keset bekas ya Allah semoga yang nipu aku baik2 nanti dekelak nanti,1
mantap lancar,5
shope memberikan kemudahan berbelanja tanpa harus keluar uang dulu karena bisa cod bayar di rumah,5
tap mantap,5
bagus,5
mantap sopyee jadi membantu sekali,5
belanja lebih mudah dan lebih murah di online shop terima kasih shopee,5
sangat cepat dalam pengiriman dan semua barang sesuai dan bagus,5
langganan selalu,5
pelayanan kurir buruk,1
👍🏻,5
Gk ada fitur Shopee food. Aneh apknya padahal sudah update,1
"shopee serba ad murah"" lg",5
mantap,5
lebih di tingkatkan lagi kinerjanya supaya makin banyak pengguna shopee,5
Top dehh,5
ok,5
puas,5
sangat bermanfaat,5
👍🏻👍🏻👍🏻,5
sangat membatu belanja online,5
suka,4
bikin belanja ku makin mudah,5
mantap pollll,5
keren,5
mending order grabb atau gojek kawan kawan,1
mantab shopee selalu amanah,5
sangat membantu,5
"tolong berikan fitur pembatalan pada tombol (pesanan selesai), saya seringkali tidak sengaja pencet tombol tsb saat pesanan saya belum datang, itu membuat saya khawatir barang yang saya pesan tidak bnr"" datang kerumah",5
baik dan keren,5
Good Aplication .Makin semangat dan insyaallah tetap berlangganan di Shopee .Semoga menjadi aplikasi andalan no. 1 bagi para pelanggan shopee.Sukses selalu buat aplikasi shopee 👍🏻😊,5
saat geratis ongkir,5
👍,5
puas banget terimakasih Shopee,5
gampang,5
bagus,5
mantap,5
bagus,5
good app..recomended,5
mantap,5
barangnya bgus GX mengecewakan pengiriman juga cepet 👍👍👍,5
good,5
bagus,5
ok,5
bagus,5
"saya kasih bintang 4 dulu,karna baju yg di kirim ada yg tidak sesuai yg di pesan, tolong tuk shopee tuk yg toko yg tidak amanah tuk di tindak lanjuti, sukses tuk shopee ya,",4
good,5
terbaik 👍💯👍💯👍💯👍💯👍💯,5
ok,5
sangat puas,5
belanja online menjadi mudah dan terpercaya,5
"aku kasih bintang 1 soalnya kalau bikin username aja di batas,harus 1 kali,terus ribet,lama² ganti apk aja dah",1
memudahkan dlm berbelanja..,5
jos,5
"untuk saat ini layananya sudah baik, kedepannya pihak shopeharus memperbaiki sistem keamanannya, kar sampai saat ini masih banyak yg tertipu belibarang di shoppe contohnya beli hp yg datang sabun cuci.. ini banyak sekali.. kalau dibiarkan ini akan mempengaruhi nama baik shopee",5
Sngat memuaskan banyak aneka produk...,5
"bagus semoga ongkir nya bisa mendukung dompet kita pesan harga 1,200.000 jadi 1.900.000 tapi gapapa lah",4
😍,5
Lemot,5
baik,5
ok,5
👍,3
"mantul bolo apk nya, sangat bermanfaat",5
terbaik,5
mantab,5
"Aplikasi sekarang semakin familier, mudah digunakan, pengiriman cepat sampai. Tapi jangan sampai delivernya salah kirim paket sehingga tak sampai ke pemesan walau pesanan tsb murah (tapi bagi pemesan penting diperlukan). Terimakasih semua yang terlibat",5
mantappp,5
"bagus, and menguntungkan💫",5
"penjualnya ramah, kurirnya juga ramah bett.. ngirim barang sat set sat set",4
sangat terbamtu dgn adanya shñbñhhb,5
hebat,5
"bagus barangnya murah murah banyak promo lagii mantapp,tapi sayang nyaa gak sampaii ke tpatt terbatass tempatnya kalo mauu cod",5
bintang 4 aja deh orang sampai sekarang gak pernah kebagian vocer diskon 50% sd 15k susah dan dikit bener kuotanya detik ke 7 aja raib di serbu abis padahal tiap hari 2x loh masiih aja gk kebagian,4
"Aplikasi nih sangat bagus dan membantu sih, tapi yang cuman pembelian tiket kapal yang ngak ada, Tolong kalau bisa secepatnya di Adain min pembelian tiket kapal Ferry di seluruh pelabuhan Indonesia kalau bisa secepatnya, Setelah ada tiket kapal di shope Insyaallah bintang nya akan Saya naikin Terimakasih.",1
sangat bagus untuk belanja online,5
hahahihihuhu apk ny gakkk bagussss eh tapi boongg🤙😌,5
"setelah update, penilaian barang diterimanya jadi hilang. gak ada. yang ada cuma ajukan pengembalian sama lacak aja. konfirmasi barang diterimanya gak ada..",1
bagus,5
"YANG TERHORMAT PIHAK SHOPEE, MOHON PERHATIANNYA. MOHON DI NON AKTIFKAN DULU SHOPEE HEMAT ATAU SHOPEE EXPRES DI JASA KIRIM AKUN SHOPEE, SUDAH MAU DUA MINGGU BARANG SAYA TIDAK DI ANTAR ANTAR. KALAU BELUM SIAP PELAKSANAAN DI WEDA, JANGAN DIPAKSAKAN, BIKIN RUSAK NAMA BESAR SHOPEE. SAYA TINGGAL DI LELILEF, PAKET SUDAH SAMPAI DI WEDA HUB. SUDAH BANYAK PAKET SAYA TIDAK ADA YG ANTAR. MOHON DI NON AKTIFKAN JASA KIRIM TERSEBUT KHUSUSNYA DI MALUKU UTARA, WEDA HUB. TERUMA KASIH",5
makin kesini makin Busuk shoppe bukanya makin baik malah lebih parah dr kemarin,1
apk yang bagus dan amanah,5
"shopee emang Ok,,, luar biasa 👍",5
membantu buat yg mager shoping,5
sebenarnya ini b aja soalnya kan kata orang orang beli apa aja selalu gratis ongkir tapi kok aku paling gratis ongkir sebulan sekali ternyata tidak sesuai ekspektasi,3
Mantap,5
shoppe terbaik tingkatkan lagi promonya,5
"sangat membantu, tks shopee",5
sesuai n memuaskan,5
tempek,1
shopee oklah,5
Terima kasih selalu Amanah,5
"udah lama pake apk ini dan sampai skrg masih pakek ,tapi lama lama enek juga buat hp error apa lg sekarang buka apak nya langsung live video kadang udah kembali tp masih on ,muak juga",1
"merasa kecewa 😞 udah limit 540k doang, spaylater gak bisa di pakai buat beli pulsa, semakin ke sini semakin susah bisa di andelin☹️.",1
"bagus, sukses amanah, mantap💪💪👍",5
"sejauh ini setiap barang yg di pesan memuaskan. dan benar"" sesuai leinginan",5
muda belanja di shopee,5
"Shopee,walau baru beberapa kali order ,menunjukan kelasnya , BERKWALITAS dan cukup profesional. mudah2an kedepannya lebih baik lagi.melayani pelanggan.terutama produk2..dan rekanan toko yang PROFESIONAL dan BERKWALITAS.serta harga yang SUKSES SELALU SHOPEE 🙏",4
Sangat membantu 👍👍🙏,5
bagus,5
bagus pesanan nya,5
"Aplikasinya bagus, Cuma saran aja ilangin notifikasi gapenting dan ga jelas. risih banget liatnya.",3
mantapp,5
saya suka aplikasi shopee.sangat membantu saya.trima kasii Shopee.,5
praktis dan mudah,5
bahanya kuat jahitannya kuat dipakainya enak saya suka celana ini,5
aplikasinya bagus,5
sangat memuaskan,5
belanja jadi mudah,5
"setiap jualan live . host tidak ada . parah. terus yg jualan gaib gtu ,?",3
selamat berbuka puasa,5
bgus,5
okee,4
good,5
mantap pokonamah,5
bagus,5
"sy suka bngt sm shope,bnyk diskon sm voucherny",5
belanja online paling lengkap dan terjangkau,5
baik,4
mantap,5
semuanya pesanan di shopee sesuai bangat berdasarkan penilaian tertera di toko,5
bagus,5
cukup bgs aplk ini tapi mhon m^f y tolong iklan jgn terlalu byak masa setiap kali membuka aplk apa saja yg lain y kok iklan dari aplk shope slalu saja mengganggu ..... .''!!!,4
mantap,5
sangat baik kita mendaoatkan uang,5
wow,5
bagus lah . meskipun sering ngajuin Spaylater nya di tolak Mulu...,5
"sangat membantu dalam proses belanja online, terima kasih apk shopee, tetap jaya di udara.",5
Dengan adanya shopee berbelanja online lebih mudah dan simpel,5
is the best,5
ok,5
aku suka soalnya jdi bisa liat2 barang lucuu,5
good nyaman belanja di shopee,5
kurir x ramah mksih 🙏,5
"penjual bagus, produk bagus .",5
biaya penanganan knapa trus naik ya tiap top up juga ad ptongan,4
ok tapi mohon di evaluasi toko yang jual produk palsu dan abal-abal,5
"kalau bisa kurangin Spil harga ganda, karena membingungkan dan menjebak konsumen",5
membuat hidup saya lebih mudah,5
"mhon diperbaiki min aplikasinya msak sya buka shope langsung masuk live tokokan merugikan itu,terima kasih",1
kecee shopee,5
memuaskan belanja jd lbh praktis tp..,5
"Iklannya jelek, ga kreatif. Kalo masuk ke shopee nya suka force close.",3
bagus,5
lebih mudah dalam transaksi,5
tidak bisa login akun shopeepay,1
bisa ga aplikasi ini di hapus dari playstore sangat merugikan nyari keuntungan sepihak!!!,1
sukses selalu shopee..,5
ᴍᴀɴᴛᴀᴘ,4
"perkecil ukuran appnya biar tambah joss, buat hp di bawah standar saya pake ram 3 agk lemot",5
"senang pakai sopi,.barang sesuai pesanan",5
"knp y sekarang ini apk Shopie kok sering macet g bisa di buka, tolong perbaiki dong , padahal jaringan aman2 aja",5
suka banget samaa si Shopee❤ market place terbaik menurut saya,5
bagus semua,5
shopie mantap,5
"toko online rekomended untuk belanja online,tdk perlu capek2 ke pasar",5
dua ajh dulu soalnya saya pengguna lama tapi GK pernah menang bonus banyak,2
shopee is the best,5
cuman konsumen setia tetapi semenjak 3.3 setiap x CO pasti auto dibatalkan transaksinya dengan alasan penyalahgunaan voucher. sampe sebel mao CO barang. mohon sistemnya dong lebih diperbaharui lagi.,2
sangat direkomendasikan,5
Bagus dan terpercaya,5
bagus,5
aplikasinya bagus harga barangnya murah murah pokoknya mantap tidak bisa diragukan lagi aplikasinya,5
sangat memuaskan,5
sangat membantu,5
